,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
1,1076418663526223873,1076074622569742337,1545473182000,2018-12-22,17:06:22,WIB,1956687031,hanz_hyuga_,hanz hyuga,,"Aku punya kis tapi belum pernah bayar,,",[],"[{'id': 1956687031, 'id_str': '1956687031', 'screen_name': 'hanz_hyuga_'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/hanz_hyuga_/status/1076418663526223873,,,,,,0,0,,1,1
2,1076417914868195329,1076309313147232257,1545473004000,2018-12-22,17:03:24,WIB,710981289885585408,susenodwi1,Suseno dwi,,"Maaf ikut nimbrung,kalau misal dr kelas 1/2/3 turun ke KIS bisa gak.karna sdh gak mampu iuran bulanan.karna sesuatu hal.",[],"[{'id': 710981289885585408, 'id_str': '710981289885585408', 'screen_name': 'Susenodwi1'}, {'id': 297699928, 'id_str': '297699928', 'screen_name': 'zein2019'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/Susenodwi1/status/1076417914868195329,,,,,,0,0,,1,1
8,1076397659332571136,1076347035790368770,1545468175000,2018-12-22,15:42:55,WIB,1044166034633232385,maulahayya,Hayya☪️,,Normal min,[],"[{'id': 1044166034633232385, 'id_str': '1044166034633232385', 'screen_name': 'maulahayya'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/maulahayya/status/1076397659332571136,,,,,,0,0,,1,1
14,1076387346705145856,1076278903436599296,1545465716000,2018-12-22,15:01:56,WIB,83853900,theangelwing,Andre Katsuu,,"Nah, sekalian tanya min. BPJS bayar ke pihak rumah sakit lancar ga sih ? RS kan menurunkan prioritas pelayanan untuk pasien BPJS bukan tanpa alasan nih ?",[],"[{'id': 83853900, 'id_str': '83853900', 'screen_name': 'theangelwing'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/theangelwing/status/1076387346705145856,,,,,,0,0,,1,1
16,1076385867516669952,1075215152985735168,1545465363000,2018-12-22,14:56:03,WIB,128149373,shofianidasn,Shofia Nida,,instagram bpjs mbak? namanya apaan?,[],"[{'id': 128149373, 'id_str': '128149373', 'screen_name': 'shofianidasn'}, {'id': 149400163, 'id_str': '149400163', 'screen_name': 'auliayii'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/shofianidasn/status/1076385867516669952,,,,,,0,0,,1,1
20,1076381673263063040,1076356340862210048,1545464363000,2018-12-22,14:39:23,WIB,107068330,adzinimaula94,Adzini Maula Badria,,Sudah saya DM. Terima kasih,[],"[{'id': 107068330, 'id_str': '107068330', 'screen_name': 'Adzinimaula94'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/Adzinimaula94/status/1076381673263063040,,,,,,0,0,,1,1
21,1076380770808152064,1075930250649849857,1545464148000,2018-12-22,14:35:48,WIB,619935768,stel_latella,☜ Stella Octavius,,Nah loh...,[],"[{'id': 619935768, 'id_str': '619935768', 'screen_name': 'Stel_latella'}, {'id': 436516291, 'id_str': '436516291', 'screen_name': 'ariesdeargod'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/Stel_latella/status/1076380770808152064,,,,,,0,0,,1,1
25,1076378185430851584,1076350863071862784,1545463532000,2018-12-22,14:25:32,WIB,86473696,wulanmarkywl,Wulan Ramadhani (울란 라마다니),,Oh begitu ya.  Baiklah.  Terima kasih info nya :),[],"[{'id': 86473696, 'id_str': '86473696', 'screen_name': 'WulanMarkyWL'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/WulanMarkyWL/status/1076378185430851584,,,,,,0,0,,1,1
30,1076375767796244480,1076347035790368770,1545462955000,2018-12-22,14:15:55,WIB,1044166034633232385,maulahayya,Hayya☪️,,Sudah dipulangkan min. Ya takutnya ada kesalahan yang disengaja / tidak disengaja gitu dari pihak RS nya. Soalnya istri saya lahiran normal dengan induksi dan dibantu 3 bidan.,[],"[{'id': 1044166034633232385, 'id_str': '1044166034633232385', 'screen_name': 'maulahayya'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/maulahayya/status/1076375767796244480,,,,,,0,0,,1,1
33,1076363088356507648,1076363088356507648,1545459932000,2018-12-22,13:25:32,WIB,100463779,mohammadsahrul,Mohammad Sahrul,,Halo @BPJSKesehatanRI kalo pindah faskes itu maksimal brp kali ya?,[],"[{'id': 100463779, 'id_str': '100463779', 'screen_name': 'MohammadSahrul'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/MohammadSahrul/status/1076363088356507648,,,,,,0,0,,0,0
