,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
2,1072510246260752384,1072454734030798854,1544541343000,2018-12-11,22:15:43,WIB,86473696,wulanmarkywl,Wulan Ramadhani (울란 라마다니),,min kalo ijazah belom keluar pake sktl boleh ga?,[],"[{'id': 86473696, 'id_str': '86473696', 'screen_name': 'WulanMarkyWL'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 1072339470375051265, 'id_str': '1072339470375051265', 'screen_name': 'REP85760322'}]",[],[],[],0,0,0,,[],https://twitter.com/WulanMarkyWL/status/1072510246260752384,,,,,,0,0,,1,1
135,1076109153804795906,1076109153804795906,1545399390000,2018-12-21,20:36:30,WIB,74116987,ardeliana,Ardeliana Gunawan,,@BPJSKesehatanRI selamat malam. Saya ingin konfirmasi aktif tidaknya BPJS saya dan kapan saya mulai membayar BPJS? saya membayar ke bank di tolak. Terimakasih,[],"[{'id': 74116987, 'id_str': '74116987', 'screen_name': 'ardeliana'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/ardeliana/status/1076109153804795906,,,,,,0,0,,0,0
147,1076119129285783553,1075753172335878145,1545401768000,2018-12-21,21:16:08,WIB,108272963,gunsh64,Gunawan Sri Haryono,,"Sayang, bbrp waktu lalu saat menjawab pertanyaan yg sama, admin pernah menjawab tdk spt ini. Sekalipun jawaban jg tdk membenarkan, tp menunjukkan bhw memang ada sangsi berdasar UU no ....yg seolah2 memberi kesan poster itu seperti benar. Mohon admin menelusuri kembali twit itu..",[],"[{'id': 108272963, 'id_str': '108272963', 'screen_name': 'gunsh64'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 107862064, 'id_str': '107862064', 'screen_name': 'A_Ichalk'}]",[],[],[],5,0,0,,[],https://twitter.com/gunsh64/status/1076119129285783553,,,,,,0,0,,1,1
168,1076146079215702017,1076138095706140678,1545408193000,2018-12-21,23:03:13,WIB,2158565066,el_muhvi,Muhammad Lutvi,,"maaf mau nanya min,, untuk pengumuman rekrutmen PTT BPJS Kesehatan kapan dan dimana ya infonya?",[],"[{'id': 2158565066, 'id_str': '2158565066', 'screen_name': 'el_muhvi'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/el_muhvi/status/1076146079215702017,,,,,,0,0,,1,1
174,1072122520969502720,1072122520969502720,1544448902000,2018-12-10,20:35:02,WIB,910875698977423365,aurorabutik17,Aurora Butik,,@BPJSKesehatanRI jika saya ganti faskes untuk kartunya bisa dicetak dmn ya ? Harus ke kantor bpjs mana ya ?,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/aurorabutik17/status/1072122520969502720,,,,,,0,0,,0,0
175,1069188305198018562,1069169998038425601,1543749331000,2018-12-02,18:15:31,WIB,910875698977423365,aurorabutik17,Aurora Butik,,Untuk faskesnya mana ya msh jaten 1 apa sudah ganti ?,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/aurorabutik17/status/1069188305198018562,,,,,,0,0,,1,1
176,1069169998038425601,1069169998038425601,1543744966000,2018-12-02,17:02:46,WIB,910875698977423365,aurorabutik17,Aurora Butik,,@BPJSKesehatanRI mohon bantuannya cek status no bpjs 0000092449821,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/aurorabutik17/status/1069169998038425601,,,,,,0,0,,0,0
177,1069110267903012864,1069079919609634816,1543730725000,2018-12-02,13:05:25,WIB,910875698977423365,aurorabutik17,Aurora Butik,,Tp itu no bpjsnya,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/aurorabutik17/status/1069110267903012864,,,,,,0,0,,1,1
178,1069109442770231296,1069080151919448065,1543730528000,2018-12-02,13:02:08,WIB,910875698977423365,aurorabutik17,Aurora Butik,,Sudah sy dm,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/aurorabutik17/status/1069109442770231296,,,,,,0,0,,1,1
179,1069080151919448065,1069080151919448065,1543723545000,2018-12-02,11:05:45,WIB,910875698977423365,aurorabutik17,Aurora Butik,,Mohon info no va untuk nomor 0000091449819 pembayarannya @BPJSKesehatanRI,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/aurorabutik17/status/1069080151919448065,,,,,,0,0,,0,0
